Date,Open,High,Low,Close,Adj Close,Volume
2017-10-19,71.112000,71.430000,64.711998,65.167999,65.167999,144126500
2017-10-26,65.556000,66.522003,63.332001,64.216003,64.216003,151936000
2017-11-02,60.026001,61.737999,58.526001,60.877998,60.877998,225955000
2017-11-09,60.500000,63.360001,59.259998,62.259998,62.259998,146561000
2017-11-16,62.798000,65.334000,60.950001,62.520000,62.520000,199919000
2017-11-23,62.757999,64.000000,60.245998,61.507999,61.507999,107584500
2017-11-30,61.712002,62.678001,60.000000,62.652000,62.652000,131607000
2017-12-07,62.400002,68.844002,62.209999,67.806000,67.806000,155709000
2017-12-14,68.202003,69.487999,65.008003,65.795998,65.795998,154940500
2017-12-21,65.917999,66.748001,62.150002,62.327999,62.327999,88457500
2017-12-28,62.349998,65.050003,61.908001,63.450001,63.450001,84836000
2018-01-04,62.574001,67.760002,61.136002,66.959999,66.959999,179267000
2018-01-11,67.047997,69.800003,66.652000,69.431999,69.431999,125242000
2018-01-18,69.134003,72.099998,68.519997,69.178001,69.178001,137687000
2018-01-25,69.653999,71.237999,67.141998,70.862000,70.862000,134793000
2018-02-01,70.199997,71.931999,64.699997,69.000000,69.000000,122121000
2018-02-08,68.662003,69.723999,58.952000,64.461998,64.461998,189935000
2018-02-15,64.900002,68.624001,64.480003,66.660004,66.660004,93922500
2018-02-22,67.106003,71.998001,66.949997,68.612000,68.612000,139971500
2018-03-01,69.001999,69.734001,64.348000,66.459999,66.459999,125476000
2018-03-08,66.571999,69.442001,64.473999,65.325996,65.325996,156351000
2018-03-15,65.875999,66.570000,61.751999,63.306000,63.306000,154445500
2018-03-22,62.778000,63.764000,50.419998,51.556000,51.556000,274216500
2018-03-29,51.298000,57.674000,48.917999,57.388000,57.388000,350129000
2018-04-05,57.868000,61.900002,57.639999,60.186001,60.186001,306819500
2018-04-12,60.464001,60.790001,56.501999,58.669998,58.669998,174161000
2018-04-19,58.216000,60.202000,55.450001,56.138000,56.138000,131554000
2018-04-26,55.750000,61.369999,55.299999,60.230000,60.230000,132724000
2018-05-03,55.757999,61.549999,55.046001,61.369999,61.369999,231285500
2018-05-10,61.500000,62.598000,56.099998,57.296001,57.296001,164056000
2018-05-17,57.180000,58.298000,54.683998,55.813999,55.813999,178930000
2018-05-24,55.680000,59.001999,54.978001,58.344002,58.344002,106040500
2018-05-31,57.442001,64.433998,56.585999,63.900002,63.900002,204522000
2018-06-07,63.230000,70.994003,62.716000,68.956001,68.956001,337756000
2018-06-14,69.526001,74.746002,69.250000,72.444000,72.444000,275240500
2018-06-21,72.400002,73.241997,65.160004,68.900002,68.900002,204753500
2018-06-28,69.732002,72.956001,61.938000,62.172001,62.172001,229664000
2018-07-05,62.751999,65.536003,59.243999,63.792000,63.792000,241471500
2018-07-12,64.286003,65.099998,61.250000,64.769997,64.769997,160150500
2018-07-19,63.265999,64.708000,58.509998,61.748001,61.748001,193683000
2018-07-26,60.970001,62.139999,57.226002,60.167999,60.167999,161771000
2018-08-02,65.688004,77.491997,64.632004,74.068001,74.068001,504414000
2018-08-09,73.110001,73.402000,66.428001,67.737999,67.737999,276437000
2018-08-16,67.982002,68.456001,57.639999,64.328003,64.328003,307715500
2018-08-23,63.827999,65.463997,60.737999,61.001999,61.001999,184628500
2018-08-30,60.452000,61.062000,55.436001,56.147999,56.147999,143315500
2018-09-06,56.959999,58.500000,50.450001,58.108002,58.108002,317208000
2018-09-13,57.604000,60.528000,55.099998,59.804001,59.804001,224179500
2018-09-20,60.712002,62.778000,58.666000,61.916000,61.916000,147839000
2018-09-27,62.580002,62.992001,52.112000,52.953999,52.953999,210794000
